자치구,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도(A),인구밀도(B),종사자밀도비(A/B*100),종사자수/자치구별인구
종로구,48361,275063,5.69,2022.38,11502.69,6431.21,178.86,182.82
중구,70308,386564,5.5,7058.85,38810.63,13231.28,293.32,293.31
용산구,29680,152605,5.14,1357.35,6979.05,10851.71,64.31,67.2
성동구,41665,203221,4.88,2471.25,12053.51,17359.06,69.44,71.36
광진구,33706,129707,3.85,1975.39,7601.65,20666.18,36.78,36.93
동대문구,42813,146383,3.42,3011.65,10297.2,24761.59,41.59,40.68
중랑구,39310,113144,2.88,2125.37,6117.35,21188.03,28.87,29.2
성북구,34712,124004,3.57,1412.38,5045.53,17908.7,28.17,28.3
강북구,26385,80222,3.04,1117.99,3399.17,12820.23,26.51,27.38
도봉구,25391,79097,3.12,1229.53,3830.18,15465.25,24.77,25.56
노원구,37909,133398,3.52,1069.69,3764.14,14530.4,25.91,26.52
은평구,36509,109031,2.99,1228.82,3669.78,16060.74,22.85,23.16
서대문구,28522,118256,4.15,1618.14,6709.03,17908.32,37.46,36.88
마포구,56782,279788,4.93,2380.79,11731.11,15877.77,73.88,74.58
양천구,37929,133776,3.53,2179.11,7685.76,25881.59,29.7,30.46
강서구,58806,290473,4.94,1418.65,7007.42,13986.42,50.1,51.07
구로구,52791,240689,4.56,2623.92,11963.21,20933.49,57.15,57.91
금천구,47964,255449,5.33,3683.73,19619.01,18808.14,104.31,105.95
영등포구,74562,435017,5.83,3037.37,17720.92,16331.45,108.51,109.36
동작구,27915,109281,3.91,1706.82,6681.8,24112.72,27.71,28.04
관악구,37915,128417,3.39,1282.28,4343.06,16891.36,25.71,25.79
서초구,71958,487976,6.78,1531.62,10386.53,8858.08,117.25,118.42
강남구,110007,801419,7.29,2785.16,20290.37,13616.05,149.02,145.64
송파구,74531,400781,5.38,2200.04,11830.46,19599.25,60.36,60.72
강동구,41660,157465,3.78,1694.15,6403.49,18969.61,33.76,33.99
