,자치구,10대,20대,30대,40대,50대,60대,70대,80대+,합계,ratio_10s,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70s,ratio_80s_to_90s,ratio_total
0,강남구,62025,69299,80376,99860,86342,63024,38895,17342,398901,1570.253164556962,1754.4050632911392,2034.8354430379748,2528.1012658227846,2185.8734177215188,1595.5443037974683,984.6835443037975,439.0379746835443,10098.759493670887
1,강동구,39038,57254,69643,75081,71601,68779,35668,15185,342358,1587.555917039447,2328.344855632371,2832.167547783652,3053.3143554290364,2911.7934119560796,2797.03131354209,1450.5083367222448,617.5274501830012,13922.651484343229
2,강북구,19496,40280,35886,40402,50769,48110,29816,16476,215447,826.1016949152541,1706.7796610169491,1520.593220338983,1711.9491525423728,2151.2288135593217,2038.559322033898,1263.3898305084745,698.1355932203389,9129.110169491525
3,강서구,41987,80228,98256,87429,84204,80873,43702,20678,430990,1012.9553679131483,1935.536791314837,2370.470446320868,2109.264173703257,2031.45958986731,1951.0977080820264,1054.3305186972254,498.86610373944507,10397.828709288298
4,관악구,25779,113010,91557,63473,68406,61763,38002,18885,398209,871.7957389245857,3821.778829895164,3096.2800135272237,2146.533648968549,2313.3581332431518,2088.704768346297,1285.1538721677375,638.6540412580318,13466.655393980385
5,광진구,25071,66055,57374,49446,54946,46376,23680,12411,274197,1469.57796014068,3871.9226260257915,3363.071512309496,2898.3587338804223,3220.750293083236,2718.4056271981244,1388.042203985932,727.4912075029309,16072.50879249707
6,구로구,29038,52515,65192,62656,68966,62087,34970,16332,311416,1443.2405566600396,2610.089463220676,3240.159045725646,3114.1153081510934,3427.7335984095425,3085.8349900596418,1738.0715705765406,811.7296222664015,15477.9324055666
7,금천구,13384,35958,40427,32003,41776,38175,19325,9319,188339,1027.9569892473119,2761.751152073733,3104.9923195084484,2457.9877112135177,3208.6021505376343,2932.0276497695854,1484.2549923195086,715.7450076804915,14465.360983102919
8,노원구,47470,68575,61947,75901,86826,73292,39750,22630,366541,1339.4469525959369,1934.9604966139957,1747.9401805869077,2141.676072234763,2449.9435665914225,2068.058690744921,1121.6139954853275,638.5440180586908,10342.57900677201
9,동대문구,23788,69172,51866,49671,53520,48984,28424,15799,273213,1672.8551336146272,4864.416315049226,3647.3980309423346,3493.0379746835442,3763.7130801687763,3444.7257383966244,1998.8748241912797,1111.040787623066,19213.291139240504
10,동작구,26769,68622,61565,55618,58716,51366,30519,16218,295887,1636.2469437652812,4194.498777506113,3763.1418092909535,3399.633251833741,3588.997555012225,3139.7310513447433,1865.4645476772616,991.3202933985331,18086.002444987775
11,마포구,27122,64188,66207,58156,56880,42837,23884,14880,288268,1137.1907756813416,2691.320754716981,2775.9748427672953,2438.4067085953875,2384.9056603773583,1796.1006289308175,1001.425576519916,623.8993710691824,12086.70859538784
12,서대문구,23031,56739,47018,45398,49725,41919,23879,15152,240799,1306.3528077141236,3218.321043675553,2666.9313669880885,2575.042541123086,2820.4764605785595,2377.7084515031197,1354.4526375496314,859.4441293250143,13658.479863868406
13,서초구,45116,50742,58131,73246,65747,48186,29087,13694,296052,960.5279965935704,1080.3065786672344,1237.6197572918884,1559.4209069618905,1399.7658079625294,1025.8888652331275,619.2676176282733,291.54779646582926,6303.00191611667
14,성동구,18316,44509,46899,41629,45277,38914,20483,11632,217228,1088.9417360285374,2646.1950059453034,2788.2877526753864,2474.9702734839475,2691.854934601665,2313.555291319857,1217.7764565992866,691.5576694411415,12914.863258026158
15,송파구,57643,85618,106374,107510,102218,90245,46751,20096,491965,1701.3872491145216,2527.095631641086,3139.7284533648167,3173.2585596221957,3017.060212514758,2663.6658795749704,1379.8996458087365,593.1523022432112,14520.808736717827
16,양천구,47863,52990,53852,73135,75550,62956,32481,14926,318483,2749.1671453187823,3043.6530729465826,3093.1648477886274,4200.746697300402,4339.460080413555,3616.082711085583,1865.651924181505,857.323377369328,18293.10740953475
17,영등포구,23798,59154,74755,58130,62188,52543,28343,15461,306770,969.3686354378818,2409.5315682281057,3045.0101832993887,2367.8207739307536,2533.1160896130345,2140.244399185336,1154.501018329939,629.7759674134419,12495.723014256619
18,용산구,14791,32493,40925,34139,36100,30058,15824,10435,173715,676.3145861911294,1485.7338820301782,1871.2848651120255,1560.9967992684042,1650.6630086876999,1374.3941472336533,723.5482395976222,477.13763145861907,7943.072702331961
19,은평구,35736,62545,67445,70984,78504,69204,39917,22088,348682,1202.8273308650287,2105.183439919219,2270.1110737125546,2389.229215752272,2642.342645573881,2329.3167283742846,1343.5543588017501,743.4533826994278,11736.18310333221
20,종로구,10524,27169,20917,20360,24783,21113,11586,7667,114342,440.15056461731496,1136.3028021748223,874.8222501045587,851.5265579255541,1036.5119196988708,883.0196570472606,484.56712672521957,320.6608113759933,4782.183186951066
21,중구,6855,21413,22853,18130,20327,18933,10628,6511,101656,688.2530120481927,2149.8995983935743,2294.477911646586,1820.2811244979919,2040.863453815261,1900.903614457831,1067.0682730923693,653.714859437751,10206.425702811244
22,중랑구,24266,51478,59102,53854,65543,63640,33320,16774,293617,1311.6756756756756,2782.5945945945946,3194.7027027027025,2911.027027027027,3542.864864864865,3440.0,1801.081081081081,906.7027027027027,15871.18918918919
