"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-04-01 ~ 2024-03-17"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 성동구 옥수동","일반","4***","독서당로40길","제3종일반주거","제1종근린생활","-","6.16","11.4600","        24,000","","개인","법인","202401","06","","1990","-","중개거래","서울 강남구"
"2","서울특별시 성동구 옥수동","일반","2***","독서당로","제2종일반주거","제1종근린생활","-","2119.97","638.0000","     2,292,445","","법인","법인","202401","11","","2020","-","중개거래","서울 강남구"
"3","서울특별시 성동구 옥수동","일반","2***","한림말3길","제2종일반주거","제2종근린생활","12m미만","462.65","193.0000","       550,000","","-","-","202308","10","","2020","-","중개거래","서울 강남구"
"4","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        22,000","","-","-","202305","30","","1998","-","직거래","-"
"5","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        24,000","","-","-","202307","13","","1998","-","직거래","-"
"6","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.37"," ","        23,000","4","-","-","202305","12","","1998","-","직거래","-"
"7","서울특별시 성동구 옥수동","집합","4***","독서당로","제3종일반주거","판매","25m이상","21.15"," ","        25,000","","-","-","202309","27","","1986","-","중개거래","서울 성동구"
"8","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","기타","25m미만","37.20"," ","        36,000","2","-","-","202309","19","","1998","-","중개거래","서울 성동구"
"9","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.61"," ","        15,000","","-","-","202310","05","","1990","-","중개거래","서울 강남구"
"10","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","46.49"," ","        59,560","6","-","-","202310","31","지분","2020","20231124","직거래","-"
"11","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","119.28"," ","       141,460","","-","-","202310","31","지분","2020","20231124","직거래","-"
"12","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.41"," ","        24,000","","-","-","202306","02","","1998","-","직거래","-"
"13","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.39"," ","        24,000","4","-","-","202305","12","","1998","-","직거래","-"
"14","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","46.49"," ","        59,440","6","-","-","202310","31","지분","2020","-","직거래","-"
"15","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.38"," ","        23,950","","-","-","202305","04","","1998","-","직거래","-"
"16","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","34.17"," ","        50,250","2","-","-","202310","31","지분","2020","-","직거래","-"
"17","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","8.05"," ","        16,000","","-","-","202305","17","","1990","-","중개거래","서울 강남구"
"18","서울특별시 성동구 옥수동","집합","5***","매봉길","제2종일반주거","제2종근린생활","25m이상","51.42"," ","        47,000","","-","-","202312","09","","2016","-","중개거래","서울 성동구"
"19","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","119.28"," ","       141,330","","-","-","202310","31","지분","2020","-","직거래","-"
"20","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.50"," ","        16,000","","-","-","202305","17","","1990","-","중개거래","서울 강남구"
"21","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.39"," ","        23,500","","-","-","202304","04","","1998","-","직거래","-"
"22","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.61"," ","        15,000","","-","-","202310","05","","1990","-","중개거래","서울 강남구"
"23","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        22,000","","-","-","202305","30","","1998","-","직거래","-"
"24","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.16"," ","        22,900","10","-","-","202312","02","","1990","-","중개거래","서울 강남구"
"25","서울특별시 성동구 옥수동","집합","5***","독서당로","제2종일반주거","제1종근린생활","25m이상","42.88"," ","       108,000","4","-","-","202310","25","","2012","-","중개거래","서울 성동구"
"26","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.43"," ","        21,000","","-","-","202307","12","","1998","20230920","직거래","-"
"27","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.16"," ","        15,000","","-","-","202310","05","","1990","-","중개거래","서울 강남구"
"28","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.41"," ","        24,000","","-","-","202307","24","","1998","-","직거래","-"
"29","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.78"," ","        16,000","","-","-","202305","17","","1990","-","중개거래","서울 강남구"
"30","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","34.17"," ","        50,370","2","-","-","202310","31","지분","2020","20231124","직거래","-"
