자치구,중대형 1층,소형 1층,종사자밀도(A),종사자수/자치구별인구
강남구,64.54285714285714,64.67142857142856,20290.37,145.64
강동구,47.2,56.1,6403.49,33.99
강북구,45.93333333333334,42.6,3399.17,27.38
강서구,35.2,28.7,7007.42,51.07
관악구,72.80000000000001,65.75,4343.06,25.79
광진구,52.550000000000004,39.400000000000006,7601.65,36.93
구로구,45.2,47.1,11963.21,57.91
금천구,33.2,31.2,19619.01,105.95
노원구,29.6,26.0,3764.14,26.52
동대문구,44.325,42.4,10297.2,40.68
동작구,53.75,35.349999999999994,6681.8,28.04
마포구,45.325,50.925,11731.11,74.58
서대문구,63.2,45.4,6709.03,36.88
서초구,33.2,40.0,10386.53,118.42
성동구,44.55,48.0,12053.51,71.36
송파구,39.96666666666667,32.5,11830.46,60.72
양천구,33.8,35.1,7685.76,30.46
영등포구,34.6,35.6,17720.92,109.36
용산구,40.6,45.9,6979.05,67.2
은평구,46.1,40.599999999999994,3669.78,23.16
종로구,73.66666666666667,67.53333333333333,11502.69,182.82000000000002
중구,86.38,80.6,38810.63,293.31
중랑구,38.0,46.5,6117.35,29.2
