도,주요상권,중대형,,,,,,,소규모,,
,,지하1층,1층,2층,3층,4층,5층,6-10층,지하1층,1층,2층
서울,전체,15.4,52.5,23.9,19,17.7,17.8,17.4,23.4,49.4,25.7
,광화문,28.1,80.7,41.1,30.1,24.3,23.4,23.8,,83.2,41.8
,남대문,19.6,69,24.6,19.9,18.2,15.3,16.9,,64.3,24.1
,동대문,13.8,45.6,18.7,15,14.4,17.1,19.9,8.5,48,21.9
,명동,28.9,194,79.4,59.5,54.4,42.5,35.8,40.2,140.4,50.9
,시청,20.4,65.3,32.9,20.9,19.1,18.2,14.4,,87.6,52.4
,을지로,9.5,51.7,18.1,15.3,13.8,13.8,,7.5,57.3,21.4
,종로,16.6,77.4,31.2,21.4,18.4,17.4,18.4,,68,32.3
,충무로,8.7,51.9,21.6,18.4,15.9,12.5,,9.7,53.4,24.2
,강남대로,34.4,106.9,46.2,34.7,29.5,29.1,22.1,21,86.3,45.1
,교대역,13.1,35,20.7,18.9,17.9,18.3,25.3,16.8,41,30.8
,남부터미널,11,31.4,19.4,17.4,15.7,16.5,20.4,20,39,16.3
,논현역,16.2,53.2,25.1,20.6,18.4,17.2,15.7,22.6,66.1,36.4
,도산대로,20.9,45.5,27.4,23.4,21.9,24,23.1,16.8,45.5,23.5
,신사역,23.7,86.7,33.6,25,21.9,18.9,17,34.8,71.4,33.9
,압구정,16.2,52.4,29.6,26.3,27.5,23.1,21.7,21.7,50.6,32.5
,청담,17.7,59.7,28.5,23.2,22,23,32.9,54.1,63,25.9
,테헤란로,25.8,47.4,33.6,25.6,22.3,22.2,19,35,69.8,38.7
,공덕역,13.3,39.4,21.1,14.7,15.6,17,16.1,24.3,60.6,35
,당산역,7.4,29.7,16.8,11.5,9.1,11.8,13.1,10,37.1,22.6
,동교/연남,24.7,43,26.6,20.7,18.6,14,,45.4,49.9,30.8
,망원역,12.6,32.5,17.7,16.6,18.1,17.3,13.7,30.5,40.6,31.2
,신촌/이대,13.8,63.2,24.6,17.5,15.9,14.9,16,42.4,45.4,19.8
,영등포역,11.6,39.5,17.5,13,11.3,12.3,16.2,6.2,34.1,20.7
,홍대/합정,27.1,66.4,31.7,24.1,21.8,19.6,20.9,45.2,52.6,32.9
,가락시장,12.2,38.5,16.3,13.6,12.3,15.2,21.9,9,30.7,13.7
,건대입구,17.6,68.9,27,18.4,16.3,11.6,6.4,16,46.7,24.4
,경희대,12.3,49.7,18.2,13.9,12.7,10.7,,17,46.7,13.2
,군자,11,36.2,18.6,14.5,14.2,14.3,21,16.1,32.1,17.1
,노량진,13.6,47.3,22.6,16.8,16.5,14.9,18.8,11.2,26.4,14.7
,독산/시흥,11.7,33.2,14.1,10.6,9.3,11.4,,,31.2,13.2
,뚝섬,11.8,46.7,21.6,17.9,18.8,18.7,19.6,23.4,51,24.4
,목동,10.5,33.8,15.6,14,13.2,13.8,12.4,16.1,35.1,15.7
,미아사거리,10.2,38.8,17.2,13.8,11.7,12,19.5,18.9,37.5,18.5
,불광역,14.8,44.5,19.3,14.6,13.9,15.6,15,9.3,38.8,15.3
,사당,15.9,60.2,27.5,22.9,19.2,17.4,13.3,16,44.3,20.6
,상계역,8.4,29.6,14.4,12.2,10.9,12.1,,10,26,9.8
,상봉역,12.3,38,19,16.2,12.3,15.5,28.1,,46.5,13.2
,서울대입구역,20.2,80.7,31.8,25.5,25.9,28.2,21.1,15.1,60.6,37.5
,성신여대,15.9,48.2,22.4,17.2,13.5,13.3,10.8,10.4,53.3,23.3
,수유,13.4,50.8,17.1,15.3,12.3,13.5,12.7,9.7,37,11.6
,숙명여대,10.9,38.6,19.6,14.5,13,9.9,,25.5,43.6,23.3
,신림역,16.6,64.9,26,18.4,13.4,14.3,15,12.5,70.9,24.2
,연신내,15.8,47.7,21.4,14.5,12,11.5,,16.8,42.4,19.9
,오류동역,11.7,45.2,18.8,13,11.7,9.1,,,47.1,28.3
,왕십리,14.5,42.4,16.7,14.2,13.1,12.3,,21.1,45,19
,용산역,11.8,27.1,14.9,13.1,13,9.9,12.1,10.6,34.1,17.4
,이태원,17.4,56.1,34,29.8,33.3,24.7,30.1,42.8,60,47
,잠실/송파,12,44.8,17.6,14.8,15.6,14.8,17.3,10.6,34.3,15.4
,잠실새내역,11,36.6,18.4,15.4,15.6,15.8,23.6,9.9,32.5,13.8
,장안동,11.7,36.6,16.7,11.9,11.5,9.1,,9.4,34.3,15.6
,천호,11.1,47.2,20.5,15.2,13.5,12,12.1,,56.1,24.7
,청량리,7.7,45.4,18.8,14,11.7,11.5,10.9,,40.6,26.8
,혜화동,17.2,62.9,26.1,20.9,18.9,16.4,14.3,19.1,51.4,32.6
,화곡,10.7,35.2,16.3,14.8,12.3,10.1,9,6.2,28.7,13.6
